gene	Log2FoldToZero_17c_15min	TLog2FoldToZero_17c_1hr	Log2FoldToZero_17c_4hr	Log2FoldToZero_27c_15min	Log2FoldToZero_27c_1hr	Log2FoldToZero_27c_4hr	cluster
AT4G35270	0.246153613	-0.686453247	-0.774864809	-0.764312246	-1.428440719	-1.26808746	cluster1
AT4G36220	-0.009486517	-0.17257462	-0.440711228	-0.368076145	-1.277054317	-1.0170697	cluster1
AT4G38620	-0.506912208	-0.622341866	-1.37289608	-0.705543352	-1.796059661	-1.675289162	cluster1
AT4G38960	0.100433685	-0.507742634	-1.496538692	-0.589883554	-1.26846053	-2.364585524	cluster1
AT4G39320	0.803648113	0.934695434	-0.706638725	0.333370149	-1.218286273	-1.638043818	cluster1
AT4G39710	-0.077351622	-0.288736691	-0.253419017	-0.23956194	-0.376408617	-0.983916463	cluster1
AT4G39960	-0.046516116	-0.263753734	-0.790314992	-0.44142956	-1.542769436	-1.566775673	cluster1
AT5G01410	-0.220276063	-0.178335046	-0.563941643	-0.147506852	-0.523176928	-1.639943935	cluster1
AT5G02780	-0.275216577	-0.909598432	-1.133930188	0.196075361	-1.514624739	-2.667306232	cluster1
AT5G03680	0.170385041	-0.615861041	-0.328869485	-1.063673799	-0.941982139	-0.847442122	cluster1
AT5G04590	-0.08374108	-0.069831715	-0.117314314	-0.165222631	-0.688749267	-0.853722905	cluster1
AT5G05270	0.451097742	0.589571439	-0.672443741	0.643276277	-0.540357722	-1.731884738	cluster1
AT5G06060	0.140885826	0.028245194	-0.091571646	-0.023689852	-0.53377413	-0.998337069	cluster1
AT5G06790	0.199246045	-0.722052857	-1.471546046	-0.742691493	-1.087472971	-1.433665695	cluster1
AT5G07990	0.255689906	0.439938431	-0.553171729	1.065211322	-0.352142429	-1.724992036	cluster1
AT5G08260	0.298214429	-0.138801145	-0.108463422	0.250654002	-1.008001071	-1.08425923	cluster1
AT5G08570	0.108943512	-0.113519804	0.032614596	-0.029120835	-0.852444219	-0.790900331	cluster1
AT5G08640	0.347582723	0.384438188	-1.256550734	0.558470038	-1.008950849	-2.445211822	cluster1
AT5G09870	0.403339625	0.35955604	-0.466177057	0.191969444	-1.155424299	-1.120309342	cluster1
AT5G12010	-0.162050198	0.015405122	-0.749479538	-0.977072034	-1.126993813	-1.407327113	cluster1
AT5G13180	-0.081646214	-0.110426907	-0.346164309	-0.90616155	-0.399903447	-0.365385555	cluster1
AT5G13430	-0.072279134	-0.217000775	-0.145833907	-0.115724911	-0.369428133	-0.759217648	cluster1
AT5G13630	-0.166730422	-0.308499002	-0.365194806	-0.218453397	-0.698735306	-1.191437195	cluster1
AT5G14640	0.423232484	0.210728293	-0.451123279	0.297368985	-0.887241872	-1.406108	cluster1
AT5G14650	0.574984508	-0.86045801	-0.78413651	0.735818886	-1.498150734	-2.779488599	cluster1
AT5G14760	-0.177637943	-0.937954688	-2.257468161	-0.43207535	-1.859723919	-3.426905915	cluster1
AT5G15640	-0.039028777	-0.348957644	-0.166054158	-0.23500369	-0.984608196	-1.001350524	cluster1
AT5G15650	0.017890802	-0.03590671	0.026101899	-0.119491539	-0.300632962	-0.844328284	cluster1
AT5G15790	-0.011652902	-0.413297177	-0.325619323	-0.875669007	-1.169928413	-0.662810979	cluster1
AT5G15910	0.180327419	0.102300438	-0.106318344	0.050495595	-0.278385786	-0.767250865	cluster1
AT5G17010	0.409862351	0.30043795	-0.381182258	0.219063313	-0.793974925	-0.980178664	cluster1
AT5G18430	-0.083389983	-0.869048289	-0.454481493	-0.767589886	-1.369203428	-1.509018798	cluster1
AT5G19090	0.063180704	-0.637493702	-0.604619455	-0.820829788	-1.100673974	-0.794836849	cluster1
AT5G19240	1.647095014	1.663034785	-0.28456932	1.63780454	-0.111850001	-1.772231276	cluster1
AT5G20110	-0.311470074	-0.710809917	-0.872767755	-1.19963867	-1.309090076	-0.791556917	cluster1
AT5G20150	0.165262588	-0.93633773	-2.856142656	-2.594737992	-2.903456901	-2.878056342	cluster1
AT5G20710	0.356296601	-0.536484062	-1.705042722	-0.930684243	-1.304182762	-2.071034887	cluster1
AT5G22300	-0.250713121	-0.109163759	0.063956922	0.21780118	-0.731332886	-2.337050078	cluster1
AT5G22480	0.057288224	-0.199929303	-0.041314645	-0.289175127	-0.934227279	-0.73576335	cluster1
AT5G23020	-0.265045976	-0.637580449	-0.029036319	0.042832108	-0.810341492	-0.535899125	cluster1
AT5G23100	-0.232144313	-0.521155719	-0.606289646	-1.050566634	-0.831805708	-0.582363134	cluster1
AT5G24850	-0.006074524	-0.644279834	-1.463891983	-0.134630747	-1.577096853	-2.246805189	cluster1
AT5G24870	0.14350566	-0.736316472	-1.069182912	-0.646406626	-0.71245432	-0.751961399	cluster1
AT5G25840	0.160447958	-0.614201083	0.005992218	-0.920063821	-0.43602844	0.002749354	cluster1
AT5G25890	-0.043434362	-0.07800158	-0.447008564	-0.290896371	-0.953497255	-1.050249988	cluster1
AT5G26230	0.088628577	-0.029269476	-0.053058455	-0.909750763	-1.583647231	-0.444479794	cluster1
AT5G26290	-0.486576013	-0.528382648	-0.648424066	-1.900860854	-1.478351863	-1.109088316	cluster1
AT5G28919	-0.321871131	-0.594084909	-0.607064746	-1.333986798	-1.834235526	-1.523990749	cluster1
AT5G35970	0.013669866	-0.340023641	-0.254174129	-0.319168525	-1.447172028	-1.390164219	cluster1
AT5G38520	0.028558775	-0.102743128	0.160399402	-0.001135845	-0.165433813	-0.542924504	cluster1
AT5G39710	0.269125318	-0.3309336	-0.474308092	-0.617203919	-1.381745613	-0.575619805	cluster1
AT5G40390	0.354635798	0.355634255	-0.402300744	-0.006555716	-0.589383933	-1.571905944	cluster1
AT5G41130	-0.294426683	-0.658316654	-0.333576872	-1.191367975	-1.249706889	-0.624343639	cluster1
AT5G41900	0.123765994	0.008191791	-0.529203042	0.114792167	-1.62022809	-1.783842674	cluster1
AT5G43630	-0.240986284	-0.626337056	-0.821175289	-0.923429821	-1.570096556	-1.319478581	cluster1
AT5G44110	-0.067397393	-0.722133917	-1.746925857	-0.110865748	-1.78503091	-2.600457568	cluster1
AT5G45280	0.158123006	0.519352377	0.137530409	0.127700583	-0.231696713	-1.049378399	cluster1
AT5G45460	-0.043969365	-0.556178786	-0.239850517	-1.064155536	-1.170631176	-0.322710375	cluster1
AT5G48590	0.14127951	0.009966898	0.104035487	-0.408050931	-0.497958958	-0.204506147	cluster1
AT5G49030	-0.268057605	-0.659313358	-0.529610327	-0.241965946	-1.091752363	-1.302977679	cluster1
AT5G49280	0.717966111	0.359912184	-0.883884831	0.697202938	-0.901311462	-1.236986312	cluster1
AT5G50740	-0.064491619	-0.218801659	-0.626480469	-0.58810429	-1.249546028	-0.920618858	cluster1
AT5G50800	0.652569943	0.343058573	-0.99755201	0.04011018	-2.344087401	-2.106110011	cluster1
AT5G52650	-0.345084221	-0.173874549	-0.254463089	-0.264486242	-0.444819391	-1.109231769	cluster1
AT5G52660	0.324015769	-0.060870471	-0.546251839	-0.608485385	-0.728771364	-0.640435569	cluster1
AT5G53290	-0.646688263	-0.816016569	-0.719813116	-1.681901382	-1.951109922	-1.561671909	cluster1
AT5G53750	0.40974413	0.601941619	-0.681698459	-0.000849677	-0.707709166	-0.980163069	cluster1
AT5G54130	-0.692666212	-1.842448646	-2.693070135	-1.997794745	-2.12476888	-3.275071283	cluster1
AT5G54370	-0.140503274	-0.481458693	0.184343997	-0.122119465	-0.432267336	-0.4359984	cluster1
AT5G54470	-0.033953479	-1.311073553	-2.066371794	-1.780611258	-2.381704461	-2.874515548	cluster1
AT5G55070	-0.034369896	-0.2240323	-0.356918115	-0.14574904	-0.89087748	-1.002755194	cluster1
AT5G55570	0.239598458	0.538294179	0.090988934	0.129360738	-0.029358899	-1.378427421	cluster1
AT5G55580	-0.116096664	-0.729685337	-0.95848104	-1.13896597	-2.1997637	-1.578229484	cluster1
AT5G55920	-0.156842371	-0.285531845	-0.500820413	-0.492636087	-1.415194606	-0.90790209	cluster1
AT5G56320	-1.186357163	-2.122091072	-0.231551701	-2.452602395	-1.983400431	-1.131923246	cluster1
AT5G56860	-0.58129607	-1.475925294	-1.644202957	-1.748813849	-1.402262441	-1.724620684	cluster1
AT5G57010	1.645712204	0.338196067	-0.523491752	1.135889518	-2.671508601	-1.870763907	cluster1
AT5G58420	-0.220599092	-0.314369638	-0.330249673	-0.284745755	-0.586356101	-0.9910489	cluster1
AT5G59350	0.148151058	-0.140006139	-0.125377076	-0.89680422	-1.054456594	-0.544341871	cluster1
AT5G59480	0.185338295	0.027373189	-0.94538621	-0.002828947	-0.313075044	-1.71438974	cluster1
AT5G59670	1.300449491	0.549911751	-1.07823849	1.37847889	-1.758372118	-2.933416301	cluster1
AT5G59850	-0.192679884	-0.117883281	-0.190866859	-0.238982381	-0.564984232	-0.871366431	cluster1
AT5G59870	-0.232181409	-0.102962259	-0.182375854	-0.193787422	-0.388482113	-0.98109967	cluster1
AT5G60790	0.14678349	-0.342956829	-0.684451166	-0.506105238	-1.302455481	-1.158891188	cluster1
AT5G61170	-0.288935727	-0.29009396	-0.352954544	-0.319815378	-0.540062122	-0.969128487	cluster1
AT5G61570	-0.538227395	-0.166221476	-0.362244411	-1.533031356	-1.928808286	-1.005313778	cluster1
AT5G62220	0.062822458	-0.190656014	-1.060271509	-0.3877807	-1.412706873	-1.440380171	cluster1
AT5G62680	0.0161329	-0.192793895	-0.385017422	-0.061920549	-1.262220452	-0.9191477	cluster1
AT5G63120	-0.232934403	-0.450807292	-0.293532972	-0.601708139	-1.52479972	-1.065845363	cluster1
AT5G65310	-0.018327549	-0.366782538	0.016047464	-0.825184853	-0.834250914	-0.351435452	cluster1
AT1G01240	0.33582013	0.227249164	2.059252961	0.250692009	1.481451734	2.222117802	cluster2
AT1G02460	0.257540092	0.38204341	1.060346096	0.352870407	1.420776611	0.330440184	cluster2
AT1G02920	1.493382088	1.479578932	3.376836479	0.431282624	0.68492548	2.726071668	cluster2
AT1G03090	-0.012433971	0.046582786	1.182560124	0.025167989	0.820159923	1.66329306	cluster2
AT1G03220	0.147463321	-0.159264166	0.362276591	0.191228233	1.019575495	0.53326178	cluster2
AT1G03610	0.977827364	-0.09404671	0.600700837	0.52046873	0.801723642	0.73059838	cluster2
AT1G03850	-0.330575834	-0.536803637	2.041119693	-0.121016018	2.345614522	2.029054843	cluster2
AT1G04400	0.2848094	0.417427187	1.297619719	0.258832662	1.069141539	1.201582996	cluster2
AT1G08300	0.539897142	0.490019569	0.246383914	0.668020931	0.968107771	1.730440506	cluster2
AT1G12560	-0.4330589	-0.14455376	0.421868535	0.204916666	0.831664014	0.25370127	cluster2
AT1G12780	-0.105250456	-0.404593425	1.261738418	-0.32568077	0.410291112	2.084673459	cluster2
AT1G13080	0.48841828	0.426394875	0.446595337	0.989844517	1.888846569	1.470773223	cluster2
AT1G13300	-0.228603227	-0.371326914	1.374295209	-0.627471004	1.124948373	0.869892299	cluster2
AT1G14700	0.347091138	0.189939468	0.421429343	0.112749299	0.702162112	1.071042483	cluster2
AT1G15670	-0.586602142	1.071166789	2.352051164	0.750139275	2.148127854	2.119906025	cluster2
AT1G15740	0.214691343	-0.213801335	0.554121174	-0.014944953	0.437187596	0.732596916	cluster2
AT1G19530	1.542416068	1.068278071	3.999078082	1.479109722	4.43683753	4.607877872	cluster2
AT1G19660	0.345203666	-0.033721466	0.666264126	0.455272492	0.908620783	1.49788549	cluster2
AT1G21550	1.565964428	1.798446926	2.563629394	5.038810966	4.774194284	2.962562738	cluster2
AT1G22370	0.852076212	0.376453121	1.309716805	1.10230611	1.641448904	2.597654104	cluster2
AT1G22500	-0.491467545	-0.559172042	0.809264171	-0.442935876	0.189059434	1.281852704	cluster2
AT1G23390	1.40463668	1.796061258	3.838853623	2.039571252	2.995976274	4.00577189	cluster2
AT1G23870	0.371220854	0.606679155	1.407780293	0.636434203	1.300924936	1.431475634	cluster2
AT1G25230	-0.107224464	0.398049631	1.634460386	-0.174871747	1.344162012	2.363209237	cluster2
AT1G27350	0.023219036	-0.144761071	0.09594852	0.214834276	0.485709736	0.287450225	cluster2
AT1G28260	0.44277709	-0.030971121	0.897751051	-0.321147976	0.954276	1.486285692	cluster2
AT1G29910	-0.146535253	0.383608835	0.811803747	0.129760889	0.615847376	0.305870879	cluster2
AT1G30520	-0.124232125	0.08496158	0.157267459	0.027174251	0.652304924	0.114536428	cluster2
AT1G30720	0.870260333	1.013585336	2.863391754	1.052913372	2.023833556	3.608997442	cluster2
AT1G32260	-0.131895004	-0.533945984	-0.143143569	-0.098032188	0.233407016	0.458013294	cluster2
AT1G32400	0.02432149	-0.043924964	0.035991288	6.46E-05	0.315949934	0.397086453	cluster2
AT1G33055	1.025483336	-0.879818347	2.673031097	0.829082359	4.068166453	4.116308482	cluster2
AT1G33780	0.210656322	-0.041833515	0.159140068	0.186948238	0.408237515	0.665487239	cluster2
AT1G49130	0.831326706	0.680017408	2.04525462	1.718718054	2.477952364	3.03924071	cluster2
AT1G49320	-0.122067084	-0.606290326	0.407792562	-0.542800323	0.470279061	0.890498119	cluster2
AT1G53210	0.316647077	0.432274316	0.47512618	0.65272737	0.648734905	0.596787917	cluster2
AT1G53730	-0.245030649	-0.089714372	-0.080089811	0.049863028	0.385411928	0.618116952	cluster2
AT1G54890	-0.624956218	0.523845667	0.660076785	0.245579282	0.636842648	0.249287464	cluster2
AT1G56300	-0.079559254	-0.953995652	2.527536337	0.878552311	1.600511874	4.579381025	cluster2
AT1G60140	0.322194866	0.386152837	1.718189575	0.17935732	1.28519192	1.711996527	cluster2
AT1G60470	0.138350298	1.541919007	1.179794904	0.260086915	2.244910102	-0.130427845	cluster2
AT1G62510	0.234741151	0.978205904	1.484500817	0.757647247	2.817974633	3.103687571	cluster2
AT1G64200	-0.066034116	0.813296849	0.906296947	1.07771638	2.790528279	2.157025359	cluster2
AT1G64720	0.270046155	0.171127415	0.686820789	0.432980462	1.226438115	1.749629426	cluster2
AT1G67325	-0.042353625	-0.243401913	-0.103608934	-0.10911512	0.358758449	0.730060092	cluster2
AT1G68150	-0.260911414	-0.481798695	1.088284857	-0.300039119	0.480640092	0.739271326	cluster2
AT1G68190	-0.002610467	0.804609093	2.378701825	0.758434439	2.205021315	2.324278941	cluster2
AT1G72820	0.649506624	0.758383331	0.937393836	0.947543976	1.365215816	1.481126651	cluster2
AT1G73260	-0.10111362	0.01115341	0.202924908	0.045474447	1.305869582	1.938399283	cluster2
AT1G75380	0.13216858	0.104054781	2.428261165	0.590336127	1.928417239	3.288418397	cluster2
AT1G75750	-0.638762423	-0.288647667	-0.210583443	-0.280639016	0.729609567	0.483889224	cluster2
AT1G76080	0.004757064	0.089307202	0.451108135	0.315015837	0.813741224	0.937554945	cluster2
AT1G76240	0.016905001	-0.602209434	0.611504299	-0.980446022	-0.427561756	0.368032869	cluster2
AT1G77330	-0.149185661	0.058656417	0.971009296	-0.096087023	0.83787282	-0.034816483	cluster2
AT1G80180	-0.028053469	-0.131027802	0.230422526	0.017468453	1.035363599	0.865597434	cluster2
AT1G80440	1.708527678	3.00118741	5.163454862	3.272043378	4.133067741	5.387259277	cluster2
AT1G80920	0.492976467	1.064540001	2.97913947	0.913712251	2.13103047	2.997716313	cluster2
AT2G01870	-0.096675251	-0.219724845	0.370509259	-0.275877301	0.32717623	0.871547976	cluster2
AT2G15890	0.280634704	0.620250867	4.253664852	0.408871534	2.802082184	4.557353344	cluster2
AT2G18700	0.992922125	1.772624957	3.453914732	1.377059684	2.828100776	2.961869345	cluster2
AT2G18770	0.015012918	-0.238947554	0.141897853	-0.001481719	0.404599046	0.540821466	cluster2
AT2G22990	0.152827721	0.023686536	0.668690853	-0.016979098	0.711026911	1.378399843	cluster2
AT2G24550	1.461999951	1.086936214	1.595765002	1.591972744	1.7324995	1.849579779	cluster2
AT2G24580	-0.041730902	-0.564268078	0.013910672	-0.283749462	0.128491967	0.13724137	cluster2
AT2G25950	0.254058107	-0.129731053	0.055808237	0.084481162	0.502218138	0.711744737	cluster2
AT2G26560	0.797940583	0.715107574	5.673819412	0.27933779	0.146594695	2.664194957	cluster2
AT2G26820	0.304439553	-0.496165248	3.718007353	0.311253279	-0.402610255	2.075756715	cluster2
AT2G27310	0.760570061	-0.106953209	1.316730245	0.844143599	1.132080882	1.523179324	cluster2
AT2G29400	0.027430764	-0.288547123	0.011602109	0.18189047	0.426432928	0.695939514	cluster2
AT2G31110	-0.061852157	-0.196388828	0.454542836	-0.134436715	-0.012636683	1.113213636	cluster2
AT2G32150	1.065039578	2.23138548	1.976461408	1.755343715	2.533931908	2.402289877	cluster2
AT2G32270	-0.085636995	-0.749435179	0.388013361	-0.45410208	0.84270533	0.667520632	cluster2
AT2G32880	-0.176741391	-0.70657148	0.665681996	-0.311586435	0.451732588	1.486859788	cluster2
AT2G34610	0.659593221	-2.293526101	-1.727027292	-1.313099031	1.254247696	-1.223130422	cluster2
AT2G34620	0.338231941	0.427798081	0.81205925	0.931512547	1.712591277	1.005494003	cluster2
AT2G36690	-0.43196485	-1.546622345	2.518801566	-0.491205181	1.444623271	1.523870464	cluster2
AT2G36750	0.508287368	-0.642707103	3.085886474	0.758377353	0.978080083	2.782815364	cluster2
AT2G39570	0.630599378	0.682349572	1.607104705	0.758776286	1.524717305	1.89389438	cluster2
AT2G40610	0.888750718	-0.212459973	1.805179558	0.189003881	0.937665986	2.294776083	cluster2
AT2G40970	0.111003967	1.169053473	1.29671549	0.51748204	1.545408507	1.521076203	cluster2
AT2G42040	-0.173571019	-0.182875427	0.671389999	-0.307946586	-0.056640582	1.569670497	cluster2
AT2G42330	0.076916265	0.280461977	0.409502851	0.534266434	0.644792517	1.213214729	cluster2
AT2G42850	-0.105947434	0.233209149	0.908896955	-0.259963084	2.102731629	0.879765093	cluster2
AT2G44080	0.717577541	0.524657807	2.070923105	0.445397413	2.008136494	1.813905298	cluster2
AT2G45170	0.105608134	0.516587207	1.944838103	0.184057429	1.591163507	2.070230186	cluster2
AT2G46030	0.374759729	0.276936277	0.631334151	0.382246959	0.976759189	1.019289274	cluster2
AT3G02550	0.031195619	-0.539886624	1.068886148	0.176926099	2.818387074	1.577101534	cluster2
AT3G04730	-0.233674831	-0.272326662	0.073154892	-0.308469659	0.098102019	0.237521458	cluster2
AT3G06850	0.031183136	0.069957638	0.731683474	0.166001944	0.991070341	1.108915408	cluster2
AT3G10040	-0.661647296	-0.83411079	0.657145382	0.047471953	2.333394008	1.198451936	cluster2
AT3G10985	0.631198123	0.9039832	0.925607256	1.472163689	1.687088356	1.513424363	cluster2
AT3G11370	0.295775563	2.98505662	1.897270065	1.819421458	1.44788312	2.681954087	cluster2
AT3G12150	0.564638684	0.666125962	1.258907033	0.879773048	1.272941071	1.379220076	cluster2
AT3G15770	0.980794717	0.971823637	1.412020721	2.278032397	2.193073304	1.839346334	cluster2
AT3G18773	0.652713553	0.987004819	2.114869456	1.319597577	2.393475249	2.767436951	cluster2
AT3G21710	0.027547803	-0.143433454	0.072870524	-0.127223371	0.76043766	0.499762935	cluster2
AT3G22100	1.304529333	0.686258562	3.081490029	1.146884667	3.609455608	2.850125343	cluster2
AT3G23080	0.07518251	0.793345402	1.560820299	0.388517965	1.771092424	1.793146022	cluster2
AT3G23150	0.213955512	-0.575734101	1.402259585	0.0282731	1.395095163	1.61867181	cluster2
AT3G24100	-0.249738213	-0.057967258	0.473108191	0.154207227	1.394053109	1.998561377	cluster2
AT3G25760	1.007136873	3.317301281	3.219852577	0.653733382	2.678281586	0.837625809	cluster2
AT3G26290	0.8054048	0.546503577	3.192676816	-0.454691614	-0.005782936	3.406759498	cluster2
AT3G26890	0.131477217	-0.211583021	0.414508796	-0.062547472	0.517138907	0.581675388	cluster2
AT3G29240	0.183642193	-0.20529591	0.275826003	0.039485936	0.569539812	0.304140829	cluster2
AT3G29810	0.261738454	0.205786009	0.162210837	0.737290011	1.773952973	1.896458729	cluster2
AT3G30775	-0.066089697	1.163114285	0.962040234	0.665175625	1.173927975	0.093632467	cluster2
AT3G47160	-0.069187134	0.656662534	2.789141189	0.26756284	1.720788084	3.286741413	cluster2
AT3G47680	0.061370296	0.032538497	0.247959177	0.066669291	0.479448336	0.786318356	cluster2
AT3G47720	2.402506983	0	0.76676669	0.630474491	3.936427238	4.703760629	cluster2
AT3G47800	0.239562006	-0.375404846	1.525109354	-0.027627181	0.381689805	1.31987384	cluster2
AT3G48530	-0.036455716	-0.035645218	0.891311456	0.053837758	0.742498102	1.223925247	cluster2
AT3G49790	1.145379929	1.554249853	3.077681976	2.07587654	2.918740862	3.528905457	cluster2
AT3G50480	0.321266256	0.60032813	1.968204204	1.165260819	1.648431902	1.423443066	cluster2
AT3G51840	-0.105826594	-0.420574118	0.408764237	-0.228567997	0.144224033	0.80016396	cluster2
AT3G55240	0.304304293	0.832736048	3.111216729	-0.067460984	2.02753631	3.629590916	cluster2
AT3G56000	-0.437785586	-0.023981255	-0.093661754	-0.229423443	0.589495142	0.975350978	cluster2
AT3G59940	1.342650572	1.900021975	2.783386812	2.121327371	2.349919528	2.942234323	cluster2
AT3G61060	0.78164866	2.095404485	2.605996811	1.597683316	2.876537765	2.936877227	cluster2
AT3G63210	-0.324623139	-0.488708853	0.190828373	-1.270352108	-0.059857778	0.335528994	cluster2
AT3G63380	0.049418308	0.408537387	2.385352529	0.295421947	0.557038784	1.081280322	cluster2
AT4G01330	-0.032068004	0.580684718	1.21471274	0.650305194	1.500088428	2.12907721	cluster2
AT4G13830	0.578765034	0.772059628	1.823927813	0.690459879	1.857074692	2.493440365	cluster2
AT4G14270	0.443425899	0.061666009	2.115123007	2.365540857	2.496840915	3.223224175	cluster2
AT4G15610	-0.080075344	0.501179394	1.082005248	-0.256512949	1.153300343	0.751493544	cluster2
AT4G16520	0.13653492	-0.117546618	0.715053404	-0.067822854	0.610354163	1.06183689	cluster2
AT4G18430	-0.528589209	-0.301765878	1.061915028	-0.743142339	-0.212089855	0.227556978	cluster2
AT4G23680	0.351552519	0.323767466	0.669859624	0.619085006	1.860218791	1.720817513	cluster2
AT4G24110	0.960975157	-0.89853669	0.800760031	0.231093597	2.309618419	2.170836235	cluster2
AT4G25310	-0.118752193	-0.024086424	2.748990789	-0.222476828	-0.318323626	1.181204126	cluster2
AT4G27260	0.062052799	-0.589055757	0.071855088	-0.180690357	0.572443497	0.273073993	cluster2
AT4G27450	1.543389714	0.853431286	2.011309205	1.675107086	2.987457489	3.743978105	cluster2
AT4G28040	0.161372224	0.034710373	0.568532324	-0.106513356	1.567510192	1.071264231	cluster2
AT4G28270	0.307531211	-0.403929094	0.227640327	0.440332014	1.005685164	1.254530037	cluster2
AT4G32480	2.499642852	2.62457295	1.846213421	2.962905125	3.522800107	2.809841639	cluster2
AT4G33070	1.395635171	0.055594986	2.146685427	1.570030087	1.493574372	1.809148241	cluster2
AT4G33880	0.025161769	0.452004163	0.847759708	-0.148784309	1.359721504	0.9154625	cluster2
AT4G36410	-0.720467127	-0.326861014	1.226879586	0.017294569	1.355205949	1.399873487	cluster2
AT4G36850	-0.353306074	-0.009381614	2.705699414	-1.591641156	0.467545467	2.513755192	cluster2
AT4G36880	0.281320766	0.103486578	0.323627596	0.543406545	1.386031424	0.893757312	cluster2
AT4G37800	0.019585471	0.068592077	0.880047338	0.038651231	0.573896569	1.013584399	cluster2
AT4G40070	-0.182612058	0.85122272	2.084322032	-0.104378074	2.148810275	1.790594997	cluster2
AT5G02020	1.587833096	1.410816758	2.487940133	1.056385445	3.025860799	2.342555861	cluster2
AT5G04530	0.3076943	-0.003874962	0.613813394	-0.531397047	-0.129526061	0.557288955	cluster2
AT5G05480	0.235928768	-0.256823489	0.17882927	0.313367006	0.544686478	0.754019082	cluster2
AT5G05690	0.209769171	-0.04503919	0.615384207	-0.090029747	0.53962459	0.955321343	cluster2
AT5G07440	-0.014555088	0.18609643	0.889946522	-0.131826421	0.64867674	0.732062343	cluster2
AT5G10250	0.496544253	0.693255501	0.693572203	0.184782812	1.414057786	2.078692463	cluster2
AT5G11580	-0.019740421	-0.26308951	0.480008629	-0.134444204	0.038382188	1.041152819	cluster2
AT5G13080	0.91795644	0.05563968	0.818273892	0.910297142	2.649795227	1.616938488	cluster2
AT5G14120	-0.590953613	-0.073228763	1.699527495	-0.503491932	0.918962289	1.419725383	cluster2
AT5G15120	0.956101519	-0.911500321	1.646663592	0.298090246	2.037504656	1.173578958	cluster2
AT5G15290	-0.049890535	1.13625355	1.817869403	1.076894109	3.1516465	3.302891246	cluster2
AT5G15830	-0.004807075	-0.483125396	0.467835679	-0.422205505	0.370268676	0.40865933	cluster2
AT5G18650	0.131032407	0.050503339	0.885279189	0.094410662	0.717001462	0.84270071	cluster2
AT5G19120	1.153638321	1.247703178	1.616877736	1.56387025	2.250480812	2.16395117	cluster2
AT5G20250	-0.506775467	0.867320765	2.477626626	0.921579471	2.29817954	3.094238694	cluster2
AT5G21170	-0.197888845	-0.014697872	1.49183614	0.07836854	1.482028884	1.792306884	cluster2
AT5G21940	1.333642404	0.529621086	0.978327733	1.403701419	1.432151807	0.94466674	cluster2
AT5G22920	0.966384119	2.182253213	3.71132339	1.687062079	3.594045515	4.148325545	cluster2
AT5G23810	0.349035634	0.26797371	1.32321171	1.610732042	1.328597855	1.87771476	cluster2
AT5G24490	-0.027044339	-0.395294431	0.657144798	0.051714818	0.46686709	0.9768266	cluster2
AT5G25280	0.56423416	1.251181256	1.701047418	1.742422184	2.098202348	2.622056874	cluster2
AT5G25810	-0.583441394	1.504532907	1.857545966	-0.463441229	1.711294571	0.669414341	cluster2
AT5G28300	-0.093833723	-0.223783501	0.105696097	-0.935028922	-0.38596486	0.156504495	cluster2
AT5G28770	0.508288889	1.274287515	2.782269585	0.909882273	2.306440514	2.972382503	cluster2
AT5G35790	0.264607081	0.260178242	0.780181876	0.357841881	1.123001773	1.114643144	cluster2
AT5G37930	0.017666789	0.521636129	0.547979538	0.049812858	0.696088794	1.266648812	cluster2
AT5G39080	0.343556946	0.243311511	0.828529517	0.254934492	1.025894011	0.84411301	cluster2
AT5G39890	0.884654517	-1.368559997	0.723755311	-0.16995098	1.665226502	1.166652211	cluster2
AT5G40020	-0.019959134	-0.615461943	-0.389501528	-0.18029951	0.360915595	0.673903169	cluster2
AT5G40780	0.261048343	0.537252645	3.175707729	0.086325614	0.093617957	1.59264033	cluster2
AT5G43920	0.041749984	-0.168686553	-0.012345136	-0.047082907	0.288363793	0.646663354	cluster2
AT5G44572	-0.241273763	-0.502500545	1.206817515	-0.577712679	-0.035742418	2.300749514	cluster2
AT5G44730	0.40699985	-0.574491072	0.330375897	-0.045682879	0.553545223	0.320435244	cluster2
AT5G49360	-0.61191126	0.140977048	1.557764056	-0.602771989	1.69305436	2.492377048	cluster2
AT5G50200	-0.551652331	-0.331880809	2.0266125	-0.432654809	-0.046839674	0.702990163	cluster2
AT5G50760	-0.820035232	-0.138291193	0.595389327	-0.658615568	0.743728857	0.246178004	cluster2
AT5G51550	0.091878995	0.680802796	0.497430842	0.488004691	0.764079783	0.940404765	cluster2
AT5G54510	0.029645141	-0.315336547	0.862165546	-0.358745754	0.758173055	1.006651458	cluster2
AT5G56550	1.043448506	1.362883192	1.886872555	1.200814425	2.016043419	1.740388991	cluster2
AT5G56870	-0.117253304	-0.237217834	1.913995264	-0.645817359	1.295755087	2.181610356	cluster2
AT5G57150	-0.137274567	-0.252105484	-0.04984442	-0.179264261	0.252950218	0.592272874	cluster2
AT5G57550	1.123362122	1.951134583	2.553347485	0.647860661	3.329478925	4.227174056	cluster2
AT5G57565	0.117294185	0.329023412	0.413664021	0.111667862	0.573181458	1.25198471	cluster2
AT5G57780	-0.274826859	-0.507318066	0.422877489	-1.573362372	0.01448122	0.701453913	cluster2
