gene	Primary_Gene_Symbol	heatRelated
AT1G10060	BRANCHED-CHAIN AMINO ACID TRANSAMINASE 1 (BCAT-1)	No
AT1G10090	NA	NA
AT1G12090	EXTENSIN-LIKE PROTEIN (ELP)	No
AT1G13510	NA	NA
AT1G14540	PEROXIDASE 4 (PER4)	No
AT1G18150	(ATMPK8)	No
AT1G21110	INDOLE GLUCOSINOLATE O-METHYLTRANSFERASE 3 (IGMT3)	No
AT1G21120	INDOLE GLUCOSINOLATE O-METHYLTRANSFERASE 2 (IGMT2)	No
AT1G21540	NA	NA
AT1G22070	TGA1A-RELATED GENE 3 (TGA3)	No
AT1G22570	NA	NA
AT1G26380	NA	NA
AT1G27930	NA	NA
AT1G28610	NA	NA
AT1G30370	DAD1-LIKE ACYLHYDROLASE (DLAH)	No
AT1G31230	ASPARTATE KINASE-HOMOSERINE DEHYDROGENASE I (AK-HSDH I)	No
AT1G32540	LSD ONE LIKE 1 (LOL1)	No
AT1G51800	IMPAIRED OOMYCETE SUSCEPTIBILITY 1 (IOS1)	No
AT1G51805	NA	NA
AT1G61840	NA	NA
AT1G63220	NA	NA
AT1G63880	NA	NA
AT1G64170	CATION/H+ EXCHANGER 16 (CHX16)	No
AT1G65390	PHLOEM PROTEIN 2 A5 (PP2-A5)	No
AT1G65690	NA	NA
AT1G67800	NA	NA
AT1G68390	NA	NA
AT1G72416	NA	NA
AT1G74080	MYB DOMAIN PROTEIN 122 (MYB122)	No
AT1G79320	METACASPASE 6 (MC6)	No
AT2G02630	NA	NA
AT2G16660	NA	NA
AT2G18690	NA	NA
AT2G22300	SIGNAL RESPONSIVE 1 (SR1)	No
AT2G28270	NA	NA
AT2G31360	16:0DELTA9 DESATURASE 2 (DS2)	No
AT2G37460	NA	NA
AT2G38860	(YLS5)	No
AT2G40330	PYR1-LIKE 6 (PYL6)	No
AT2G41870	NA	NA
AT2G46495	NA	NA
AT2G46650	CYTOCHROME B5 ISOFORM C (CB5-C)	No
AT2G46870	NGATHA1 (NGA1)	No
AT3G02250	NA	NA
AT3G03780	METHIONINE SYNTHASE 2 (MS2)	No
AT3G07195	NA	NA
AT3G09540	NA	NA
AT3G09940	MONODEHYDROASCORBATE REDUCTASE (MDHAR)	No
AT3G12710	NA	NA
AT3G13610	NA	NA
AT3G25730	ETHYLENE RESPONSE DNA BINDING FACTOR 3 (EDF3)	No
AT3G28130	NA	NA
AT3G28910	MYB DOMAIN PROTEIN 30 (MYB30)	No
AT3G44970	NA	NA
AT3G46270	NA	NA
AT3G46490	NA	NA
AT3G50350	NA	NA
AT3G52450	PLANT U-BOX 22 (PUB22)	No
AT4G01630	EXPANSIN A17 (EXPA17)	No
AT4G03400	DWARF IN LIGHT 2 (DFL2)	No
AT4G09510	CYTOSOLIC INVERTASE 2 (CINV2)	No
AT4G12120	(SEC1B)	No
AT4G12320	CYTOCHROME P450, FAMILY 706, SUBFAMILY A, POLYPEPTIDE 6"" (CYP706A6)	No
AT4G13420	HIGH AFFINITY K+ TRANSPORTER 5 (HAK5)	No
AT4G14630	GERMIN-LIKE PROTEIN 9 (GLP9)	No
AT4G14740	NA	NA
AT4G15393	CYTOCHROME P450, FAMILY 702, SUBFAMILY A, POLYPEPTIDE 5"" (CYP702A5)	No
AT4G18250	NA	NA
AT4G18270	TRANSLOCASE 11 (TRANS11)	No
AT4G19810	CLASS V CHITINASE (ChiC)	No
AT4G21400	CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 28 (CRK28)	No
AT4G22070	WRKY DNA-BINDING PROTEIN 31 (WRKY31)	No
AT4G23200	CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 12 (CRK12)	No
AT4G25090	NA	NA
AT4G29110	NA	NA
AT4G30600	NA	NA
AT4G35380	NA	NA
AT4G38770	PROLINE-RICH PROTEIN 4 (PRP4)	No
AT4G39980	3-DEOXY-D-ARABINO-HEPTULOSONATE 7-PHOSPHATE SYNTHASE 1 (DHS1)	No
AT5G05860	UDP-GLUCOSYL TRANSFERASE 76C2 (UGT76C2)	No
AT5G11060	KNOTTED1-LIKE HOMEOBOX GENE 4 (KNAT4)	No
AT5G19220	ADP GLUCOSE PYROPHOSPHORYLASE LARGE SUBUNIT 1 (APL1)	No
AT5G19250	NA	NA
AT5G23980	FERRIC REDUCTION OXIDASE 4 (FRO4)	No
AT5G23990	FERRIC REDUCTION OXIDASE 5 (FRO5)	No
AT5G25250	FLOTILLIN 1 (FLOT1)	No
AT5G25260	NA	NA
AT5G40590	NA	NA
AT5G43910	NA	NA
AT5G44340	TUBULIN BETA CHAIN 4 (TUB4)	No
AT5G45070	PHLOEM PROTEIN 2-A8 (PP2-A8)	No
AT5G47380	NA	NA
AT5G48070	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 20 (XTH20)	No
AT5G48657	NA	NA
AT5G49850	NA	NA
AT5G49870	NA	NA
AT5G54710	NA	NA
AT5G54720	NA	NA
AT5G54810	TRYPTOPHAN SYNTHASE BETA-SUBUNIT 1 (TSB1)	No
AT5G57220	CYTOCHROME P450, FAMILY 81, SUBFAMILY F, POLYPEPTIDE 2"" (CYP81F2)	No
AT5G59130	NA	NA
AT5G60680	NA	NA
AT5G63180	NA	NA
AT5G64100	NA	NA
AT5G65980	NA	NA
AT1G02660	NA	NA
AT1G09350	GALACTINOL SYNTHASE 3 (GolS3)	No
AT1G10370	EARLY-RESPONSIVE TO DEHYDRATION 9 (ERD9)	No
AT1G16370	ORGANIC CATION/CARNITINE TRANSPORTER 6 (OCT6)	No
AT1G16510	NA	NA
AT1G17340	NA	NA
AT1G17380	JASMONATE-ZIM-DOMAIN PROTEIN 5 (JAZ5)	No
AT1G17420	LIPOXYGENASE 3 (LOX3)	No
AT1G17620	NA	NA
AT1G18210	NA	NA
AT1G18710	MYB DOMAIN PROTEIN 47 (MYB47)	No
AT1G19180	JASMONATE-ZIM-DOMAIN PROTEIN 1 (JAZ1)	No
AT1G19200	NA	NA
AT1G26730	NA	NA
AT1G27730	SALT TOLERANCE ZINC FINGER (STZ)	No
AT1G27770	AUTOINHIBITED CA2+-ATPASE 1 (ACA1)	No
AT1G28380	NECROTIC SPOTTED LESIONS 1 (NSL1)	No
AT1G31580	(ECS1)	No
AT1G56660	NA	NA
AT1G62320	NA	NA
AT1G63750	NA	NA
AT1G63860	NA	NA
AT1G64400	LONG-CHAIN ACYL-COA SYNTHETASE 3 (LACS3)	No
AT1G65860	FLAVIN-MONOOXYGENASE GLUCOSINOLATE S-OXYGENASE 1 (FMO GS-OX1)	No
AT1G66090	NA	NA
AT1G72450	JASMONATE-ZIM-DOMAIN PROTEIN 6 (JAZ6)	No
AT1G72520	LIPOXYGENASE 4 (LOX4)	No
AT1G73805	SAR DEFICIENT 1 (SARD1)	No
AT1G74330	NA	NA
AT1G74430	MYB DOMAIN PROTEIN 95 (MYB95)	No
AT1G74950	(TIFY10B)	No
AT1G76360	NA	NA
AT2G13790	SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 4 (SERK4)	No
AT2G14750	APS KINASE (APK)	No
AT2G16720	MYB DOMAIN PROTEIN 7 (MYB7)	No
AT2G20610	SUPERROOT 1 (SUR1)	No
AT2G21510	NA	NA
AT2G24330	NA	NA
AT2G24600	NA	NA
AT2G25250	NA	NA
AT2G27080	NA	NA
AT2G27690	CYTOCHROME P450, FAMILY 94, SUBFAMILY C, POLYPEPTIDE 1"" (CYP94C1)	No
AT2G35710	NA	NA
AT2G38470	WRKY DNA-BINDING PROTEIN 33 (WRKY33)	No
AT2G39650	NA	NA
AT2G41100	TOUCH 3 (TCH3)	No
AT2G42530	COLD REGULATED 15B (COR15B)	No
AT2G43120	NA	NA
AT2G47060	PTO-INTERACTING 1-4 (PTI1-4)	No
AT3G01550	PHOSPHOENOLPYRUVATE (PEP)/PHOSPHATE TRANSLOCATOR 2 (PPT2)	No
AT3G01830	NA	NA
AT3G10300	NA	NA
AT3G14590	(NTMC2T6.2)	No
AT3G16860	COBRA-LIKE PROTEIN 8 PRECURSOR (COBL8)	No
AT3G17770	NA	NA
AT3G22231	PATHOGEN AND CIRCADIAN CONTROLLED 1 (PCC1)	No
AT3G26910	NA	NA
AT3G28210	(PMZ)	No
AT3G44190	NA	NA
AT3G44260	CCR4- ASSOCIATED FACTOR 1A (CAF1a)	No
AT3G44870	NA	NA
AT3G45960	EXPANSIN-LIKE A3 (EXLA3)	No
AT3G47960	NA	NA
AT3G50260	COOPERATIVELY REGULATED BY ETHYLENE AND JASMONATE 1 (CEJ1)	No
AT3G50930	CYTOCHROME BC1 SYNTHESIS (BCS1)	No
AT3G54020	ARABIDOPSIS INOSITOL PHOSPHORYLCERAMIDE SYNTHASE 1 (AtIPCS1)	No
AT3G55430	NA	NA
AT3G55980	SALT-INDUCIBLE ZINC FINGER 1 (SZF1)	No
AT3G60420	NA	NA
AT4G00970	CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 41 (CRK41)	No
AT4G09820	TRANSPARENT TESTA 8 (TT8)	No
AT4G10390	NA	NA
AT4G11280	1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID (ACC) SYNTHASE 6 (ACS6)	No
AT4G12030	BILE ACID TRANSPORTER 5 (BAT5)	No
AT4G12720	(NUDT7)	No
AT4G14370	NA	NA
AT4G14680	(APS3)	No
AT4G17615	CALCINEURIN B-LIKE PROTEIN 1 (CBL1)	No
AT4G18010	INOSITOL(1,4,5)P3 5-PHOSPHATASE II (IP5PII)	No
AT4G18070	NA	NA
AT4G19520	NA	NA
AT4G19960	K+ UPTAKE PERMEASE 9 (KUP9)	No
AT4G21840	METHIONINE SULFOXIDE REDUCTASE B8 (MSRB8)	No
AT4G24960	HVA22 HOMOLOGUE D (HVA22D)	No
AT4G26480	NA	NA
AT4G27070	TRYPTOPHAN SYNTHASE BETA-SUBUNIT 2 (TSB2)	No
AT4G29780	NA	NA
AT4G31800	WRKY DNA-BINDING PROTEIN 18 (WRKY18)	No
AT4G32800	NA	NA
AT4G33050	EMBRYO SAC DEVELOPMENT ARREST 39 (EDA39)	No
AT4G33920	NA	NA
AT4G34990	MYB DOMAIN PROTEIN 32 (MYB32)	No
AT4G35985	NA	NA
AT4G36010	NA	NA
AT4G39890	RAB GTPASE HOMOLOG H1C (RABH1c)	No
AT4G39940	APS-KINASE 2 (AKN2)	No
AT5G01040	LACCASE 8 (LAC8)	No
AT5G01050	NA	NA
AT5G01100	NA	NA
AT5G03350	NA	NA
AT5G07920	DIACYLGLYCEROL KINASE1 (DGK1)	No
AT5G10550	GLOBAL TRANSCRIPTION FACTOR GROUP E2 (GTE2)	No
AT5G11790	N-MYC DOWNREGULATED-LIKE 2 (NDL2)	No
AT5G13220	JASMONATE-ZIM-DOMAIN PROTEIN 10 (JAZ10)	No
AT5G13930	TRANSPARENT TESTA 4 (TT4)	No
AT5G15970	(KIN2)	No
AT5G16910	CELLULOSE-SYNTHASE LIKE D2 (CSLD2)	No
AT5G17460	NA	NA
AT5G24010	NA	NA
AT5G24810	NA	NA
AT5G25930	NA	NA
AT5G26030	FERROCHELATASE 1 (FC1)	No
AT5G26920	CAM-BINDING PROTEIN 60-LIKE G (CBP60G)	No
AT5G35735	NA	NA
AT5G38710	NA	NA
AT5G39670	NA	NA
AT5G39785	NA	NA
AT5G41740	NA	NA
AT5G41750	NA	NA
AT5G42800	DIHYDROFLAVONOL 4-REDUCTASE (DFR)	No
AT5G44070	CADMIUM SENSITIVE 1 (CAD1)	No
AT5G45340	CYTOCHROME P450, FAMILY 707, SUBFAMILY A, POLYPEPTIDE 3"" (CYP707A3)	No
AT5G48880	3-KETO-ACYL-COENZYME A THIOLASE 5 (KAT5)	No
AT5G49520	WRKY DNA-BINDING PROTEIN 48 (WRKY48)	No
AT5G49900	NA	NA
AT5G52310	LOW-TEMPERATURE-INDUCED 78 (LTI78)	No
AT5G56160	NA	NA
AT5G60310	NA	NA
AT5G62570	NA	NA
AT5G63770	DIACYLGLYCEROL KINASE 2 (DGK2)	No
AT1G03470	NETWORKED 3A (NET3A)	No
AT1G03860	PROHIBITIN 2 (PHB2)	No
AT1G11410	NA	NA
AT1G14360	UDP-GALACTOSE TRANSPORTER 3 (UTR3)	No
AT1G21350	NA	NA
AT1G24148	NA	NA
AT1G26440	UREIDE PERMEASE 5 (UPS5)	No
AT1G27090	NA	NA
AT1G28670	(ARAB-1)	No
AT1G30500	NUCLEAR FACTOR Y, SUBUNIT A7"" (NF-YA7)	No
AT1G32090	NA	NA
AT1G32780	NA	NA
AT1G43800	FLORAL TRANSITION AT THE MERISTEM1 (FTM1)	No
AT1G48700	NA	NA
AT1G56610	NA	NA
AT1G58030	CATIONIC AMINO ACID TRANSPORTER 2 (CAT2)	No
AT1G63090	PHLOEM PROTEIN 2-A11 (PP2-A11)	No
AT1G63690	SIGNAL PEPTIDE PEPTIDASE-LIKE 2 (SPPL2)	No
AT1G65040	HOMOLOG OF YEAST HRD1 (Hrd1B)	No
AT2G01100	NA	NA
AT2G01220	NA	NA
AT2G01990	NA	NA
AT2G02770	NA	NA
AT2G02780	NA	NA
AT2G02810	UDP-GALACTOSE TRANSPORTER 1 (UTR1)	No
AT2G17900	SET DOMAIN GROUP 37 (SDG37)	No
AT2G18480	NA	NA
AT2G24120	SCABRA 3 (SCA3)	No
AT2G24650	NA	NA
AT2G25090	CBL-INTERACTING PROTEIN KINASE 16 (CIPK16)	No
AT2G25110	STROMAL CELL-DERIVED FACTOR 2-LIKE PROTEIN PRECURSOR (SDF2)	No
AT2G25590	NA	NA
AT2G25760	NA	NA
AT2G36950	NA	NA
AT2G41070	ENHANCED EM LEVEL (EEL)	No
AT2G45380	NA	NA
AT2G45910	NA	NA
AT2G45920	NA	NA
AT2G46250	NA	NA
AT3G17740	NA	NA
AT3G19990	NA	NA
AT3G21260	GLYCOLIPID TRANSFER PROTEIN 3 (GLTP3)	No
AT3G21350	(MED6)	No
AT3G22420	WITH NO LYSINE (K) KINASE 2 (WNK2)	No
AT3G22880	DISRUPTION OF MEIOTIC CONTROL 1 (DMC1)	No
AT3G26690	NUDIX HYDROLASE HOMOLOG 13 (NUDX13)	No
AT3G26720	NA	NA
AT3G51420	STRICTOSIDINE SYNTHASE-LIKE 4 (SSL4)	No
AT3G55090	ATP-BINDING CASSETTE G16 (ABCG16)	No
AT3G56690	CAM INTERACTING PROTEIN 111 (CIP111)	No
AT3G57810	NA	NA
AT3G62600	(ATERDJ3B)	No
AT4G01270	NA	NA
AT4G10250	(ATHSP22.0)	No
AT4G10330	NA	NA
AT4G11960	PGR5-LIKE B (PGRL1B)	No
AT4G16260	NA	NA
AT4G17910	NA	NA
AT4G21880	NA	NA
AT4G23400	PLASMA MEMBRANE INTRINSIC PROTEIN 1;5 (PIP1;5)	No
AT4G24190	SHEPHERD (SHD)	No
AT4G33740	NA	NA
AT4G33910	NA	NA
AT4G34260	(FUC95A)	No
AT4G35470	PLANT INTRACELLULAR RAS GROUP-RELATED LRR 4 (PIRL4)	No
AT4G37380	NA	NA
AT4G37520	NA	NA
AT4G38060	NA	NA
AT4G38090	NA	NA
AT4G40060	HOMEOBOX PROTEIN 16 (HB16)	No
AT5G01670	NA	NA
AT5G03120	NA	NA
AT5G03230	NA	NA
AT5G04150	(BHLH101)	No
AT5G07570	NA	NA
AT5G10946	NA	NA
AT5G13490	ADP/ATP CARRIER 2 (AAC2)	No
AT5G15860	PRENYLCYSTEINE METHYLESTERASE (PCME)	No
AT5G20450	NA	NA
AT5G21970	NA	NA
AT5G23050	ACYL-ACTIVATING ENZYME 17 (AAE17)	No
AT5G24160	SQUALENE MONOXYGENASE 6 (SQE6)	No
AT5G25120	YTOCHROME P450, FAMILY 71, SUBFAMILY B, POLYPEPTIDE 11"" (CYP71B11)	No
AT5G25130	CYTOCHROME P450, FAMILY 71, SUBFAMILY B, POLYPEPTIDE 12"" (CYP71B12)	No
AT5G25140	CYTOCHROME P450, FAMILY 71, SUBFAMILY B, POLYPEPTIDE 13"" (CYP71B13)	No
AT5G25560	NA	NA
AT5G25970	NA	NA
AT5G27360	(SFP2)	No
AT5G38200	NA	NA
AT5G40250	NA	NA
AT5G42470	NA	NA
AT5G43270	SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 2 (SPL2)	No
AT5G44380	NA	NA
AT5G47000	NA	NA
AT5G50400	PURPLE ACID PHOSPHATASE 27 (PAP27)	No
AT5G56280	COP9 SIGNALOSOME SUBUNIT 6A (CSN6A)	No
AT5G56850	NA	NA
AT5G57790	NA	NA
AT5G58200	NA	NA
AT5G63190	NA	NA
AT5G65730	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 6 (XTH6)	No
AT5G65940	BETA-HYDROXYISOBUTYRYL-COA HYDROLASE 1 (chy1)	No
AT5G66960	NA	NA
AT5G67110	ALCATRAZ (ALC)	No
AT5G67610	NA	NA
AT1G10230	SKP1-LIKE 18 (SK18)	No
AT1G10380	NA	NA
AT1G11100	NA	NA
AT1G18330	EARLY-PHYTOCHROME-RESPONSIVE1 (EPR1)	No
AT1G30070	NA	NA
AT1G31280	ARGONAUTE 2 (AGO2)	No
AT1G35660	NA	NA
AT1G44350	IAA-LEUCINE RESISTANT (ILR)-LIKE GENE 6 (ILL6)	No
AT1G52560	NA	NA
AT1G59124	NA	NA
AT1G65980	THIOREDOXIN-DEPENDENT PEROXIDASE 1 (TPX1)	No
AT1G66080	NA	NA
AT1G78080	RELATED TO AP2 4 (RAP2.4)	No
AT1G78150	NA	NA
AT1G79920	HEAT SHOCK PROTEIN 70-15 (Hsp70-15)	Yes
AT2G03890	PHOSPHOINOSITIDE 4-KINASE GAMMA 7 (PI4K GAMMA 7)	No
AT2G04030	(CR88)	No
AT2G17840	EARLY-RESPONSIVE TO DEHYDRATION 7 (ERD7)	No
AT2G21130	NA	NA
AT2G24100	ALTERED SEED GERMINATION 1 (ASG1)	No
AT2G28000	CHAPERONIN-60ALPHA (CPN60A)	No
AT2G32120	HEAT-SHOCK PROTEIN 70T-2 (HSP70T-2)	Yes
AT2G34500	CYTOCHROME P450, FAMILY 710, SUBFAMILY A, POLYPEPTIDE 1 (CYP710A1)	No
AT2G36460	FRUCTOSE-BISPHOSPHATE ALDOLASE 6 (FBA6)	No
AT2G36830	GAMMA TONOPLAST INTRINSIC PROTEIN (GAMMA-TIP)	No
AT2G37180	RESPONSIVE TO DESICCATION 28 (RD28)	No
AT2G38600	NA	NA
AT2G40830	RING-H2 FINGER C1A (RHC1A)	No
AT2G41250	NA	NA
AT2G43630	NA	NA
AT2G47180	GALACTINOL SYNTHASE 1 (GolS1)	No
AT3G03520	NON-SPECIFIC PHOSPHOLIPASE C3 (NPC3)	No
AT3G05320	NA	NA
AT3G07770	HEAT SHOCK PROTEIN 89.1 (Hsp89.1)	Yes
AT3G08970	(ATERDJ3A)	No
AT3G09350	FES1A (Fes1A)	No
AT3G09440	NA	NA
AT3G10800	(BZIP28)	No
AT3G10820	NA	NA
AT3G12050	NA	NA
AT3G12580	HEAT SHOCK PROTEIN 70 (HSP70)	Yes
AT3G13310	NA	NA
AT3G13470	CHAPERONIN-60BETA2 (CPN60BETA2)	No
AT3G14200	NA	NA
AT3G16050	PYRIDOXINE BIOSYNTHESIS 1.2 (PDX1.2)	No
AT3G20830	NA	NA
AT3G23990	HEAT SHOCK PROTEIN 60 (HSP60)	Yes
AT3G24500	MULTIPROTEIN BRIDGING FACTOR 1C (MBF1C)	No
AT3G25230	ROTAMASE FKBP 1 (ROF1)	No
AT3G43430	NA	NA
AT3G44110	(J3)	No
AT3G50560	NA	NA
AT3G51910	HEAT SHOCK TRANSCRIPTION FACTOR A7A (HSFA7A)	Yes
AT3G53230	NA	NA
AT3G53830	NA	NA
AT3G63310	BRZ-INSENSITIVE-LONG HYPOCOTYLS 4 (BIL4)	No
AT3G63350	(AT-HSFA7B)	No
AT4G04020	FIBRILLIN (FIB)	No
AT4G08230	NA	NA
AT4G08950	EXORDIUM (EXO)	No
AT4G09150	NA	NA
AT4G11660	(AT-HSFB2B)	No
AT4G15410	SERINE/THREONINE PROTEIN PHOSPHATASE 2A 55 KDA REGULATORY SUBUNIT B PRIME GAMMA (PUX5)	No
AT4G17250	NA	NA
AT4G23493	NA	NA
AT4G23570	(SGT1A)	No
AT4G24280	CHLOROPLAST HEAT SHOCK PROTEIN 70-1 (cpHsc70-1)	Yes
AT4G25200	MITOCHONDRION-LOCALIZED SMALL HEAT SHOCK PROTEIN 23.6 (HSP23.6-MITO)	Yes
AT4G29330	DERLIN-1 (DER1)	No
AT4G30490	NA	NA
AT4G33940	NA	NA
AT5G01380	NA	NA
AT5G02490	(Hsp70-2)	No
AT5G02500	HEAT SHOCK COGNATE PROTEIN 70-1 (HSC70-1)	Yes
AT5G03160	HOMOLOG OF MAMALLIAN P58IPK (P58IPK)	No
AT5G03340	NA	NA
AT5G03560	NA	NA
AT5G05410	DRE-BINDING PROTEIN 2A (DREB2A)	No
AT5G10300	METHYL ESTERASE 5 (MES5)	No
AT5G13210	NA	NA
AT5G18065	NA	NA
AT5G18340	NA	NA
AT5G19110	NA	NA
AT5G22060	DNAJ HOMOLOGUE 2 (J2)	No
AT5G23350	NA	NA
AT5G24150	(SQP1)	No
AT5G24530	DOWNY MILDEW RESISTANT 6 (DMR6)	No
AT5G28540	(BIP1)	No
AT5G35320	NA	NA
AT5G42020	(BIP2)	No
AT5G42220	NA	NA
AT5G46170	NA	NA
AT5G47120	BAX INHIBITOR 1 (BI1)	No
AT5G47830	NA	NA
AT5G49910	CHLOROPLAST HEAT SHOCK PROTEIN 70-2 (cpHsc70-2)	Yes
AT5G53400	BOBBER1 (BOB1)	No
AT5G55970	NA	NA
AT5G56010	HEAT SHOCK PROTEIN 81-3 (HSP81-3)	Yes
AT5G56600	PROFILIN 3 (PRF3)	No
AT5G58070	TEMPERATURE-INDUCED LIPOCALIN (TIL)	No
AT5G58590	RAN BINDING PROTEIN 1 (RANBP1)	No
AT5G58770	NA	NA
AT5G62020	HEAT SHOCK TRANSCRIPTION FACTOR B2A (HSFB2A)	Yes
AT5G65690	PHOSPHOENOLPYRUVATE CARBOXYKINASE 2 (PCK2)	No
AT1G09210	CALRETICULIN 1B (CRT1b)	No
AT1G10050	NA	NA
AT1G20450	EARLY RESPONSIVE TO DEHYDRATION 10 (ERD10)	No
AT1G23180	NA	NA
AT1G24100	UDP-GLUCOSYL TRANSFERASE 74B1 (UGT74B1)	No
AT1G32170	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 30 (XTH30)	No
AT1G50590	NA	NA
AT1G51760	IAA-ALANINE RESISTANT 3 (IAR3)	No
AT1G58807	NA	NA
AT1G59865	NA	NA
AT1G62520	NA	NA
AT1G69840	NA	NA
AT1G79840	GLABRA 2 (GL2)	No
AT2G21940	SHIKIMATE KINASE 1 (SK1)	No
AT2G30500	NETWORKED 4B (NET4B)	No
AT2G34600	JASMONATE-ZIM-DOMAIN PROTEIN 7 (JAZ7)	No
AT2G36650	NA	NA
AT2G45050	GATA TRANSCRIPTION FACTOR 2 (GATA2)	No
AT3G10113	NA	NA
AT3G11340	UDP-DEPENDENT GLYCOSYLTRANSFERASE 76B1 (UGT76B1)	No
AT3G15340	PROTON PUMP INTERACTOR 2 (PPI2)	No
AT3G18290	BRUTUS (BTS)	No
AT3G45970	EXPANSIN-LIKE A1 (EXLA1)	No
AT3G48520	CYTOCHROME P450, FAMILY 94, SUBFAMILY B, POLYPEPTIDE 3 (CYP94B3)	No
AT3G57880	NA	NA
AT4G13620	NA	NA
AT4G15340	PENTACYCLIC TRITERPENE SYNTHASE 1 (PEN1)	No
AT4G17970	ALUMINUM-ACTIVATED, MALATE TRANSPORTER 12"" (ALMT12)	No
AT4G25810	XYLOGLUCAN ENDOTRANSGLYCOSYLASE 6 (XTR6)	No
AT4G30460	NA	NA
AT4G32208	NA	NA
AT4G33420	NA	NA
AT5G02230	NA	NA
AT5G04840	NA	NA
AT5G06300	LONELY GUY 7 (LOG7)	No
AT5G13170	SENESCENCE-ASSOCIATED GENE 29 (SAG29)	No
AT5G19100	NA	NA
AT5G24210	NA	NA
AT5G43850	(ARD4)	No
AT5G56000	HEAT SHOCK PROTEIN 81.4 (Hsp81.4)	Yes
AT5G57100	NA	NA
AT5G62520	SIMILAR TO RCD ONE 5 (SRO5)	No
AT5G64260	EXORDIUM LIKE 2 (EXL2)	No
